"COMMON.NAME","SCIENTIFIC.NAME"
"Andaman Coucal","Centropus andamanensis"
"Andaman Shama","Copsychus albiventris"
"Andaman Serpent-Eagle","Spilornis elgini"
"Asian Glossy Starling","Aplonis panayensis"
"Black-naped Monarch","Hypothymis azurea"
"Brown Shrike","Lanius cristatus"
"Common Myna","Acridotheres tristis"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Common Hill Myna","Gracula religiosa"
"Indian Pond-Heron","Ardeola grayii"
"Large-billed Crow","Corvus macrorhynchos"
"Long-tailed Parakeet","Psittacula longicauda"
"Oriental Magpie-Robin","Copsychus saularis"
"Olive-backed Sunbird","Cinnyris jugularis"
"Orange-headed Thrush","Geokichla citrina"
"Plume-toed Swiftlet","Collocalia affinis"
"Andaman Green-Pigeon","Treron chloropterus"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Vernal Hanging-Parrot","Loriculus vernalis"
"White-headed Starling","Sturnia erythropygia"
"White-throated Kingfisher","Halcyon smyrnensis"
"Alexandrine Parakeet","Psittacula eupatria"
"Andaman Cuckoo-Dove","Macropygia rufipennis"
"Andaman Bulbul","Brachypodius fuscoflavescens"
"Andaman Crake","Rallina canningi"
"Andaman Cuckooshrike","Coracina dobsoni"
"Andaman Drongo","Dicrurus andamanensis"
"Andaman Flowerpecker","Dicaeum virescens"
"Andaman Boobook","Ninox affinis"
"Andaman Teal","Anas albogularis"
"Andaman Treepie","Dendrocitta bayleii"
"Andaman Woodpecker","Dryocopus hodgei"
"Andaman Wood-Pigeon","Columba palumboides"
"Asian Fairy-bluebird","Irena puella"
"Asian Koel","Eudynamys scolopaceus"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca"
"Blue-eared Kingfisher","Alcedo meninting"
"Black-naped Oriole","Oriolus chinensis"
"Black-naped Tern","Sterna sumatrana"
"Brahminy Kite","Haliastur indus"
"Brown-backed Needletail","Hirundapus giganteus"
"Hume's Boobook","Ninox obscura"
"Blue-tailed Bee-eater","Merops philippinus"
"Cattle Egret","Bubulcus ibis"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Chinese Pond-Heron","Ardeola bacchus"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Collared Kingfisher","Todiramphus chloris"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Redshank","Tringa totanus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Crested Serpent-Eagle","Spilornis cheela"
"Dollarbird","Eurystomus orientalis"
"White-nest Swiftlet","Aerodramus fuciphagus"
"Asian Emerald Dove","Chalcophaps indica"
"Eurasian Curlew","Numenius arquata"
"Eyebrowed Thrush","Turdus obscurus"
"Freckle-breasted Woodpecker","Dendrocopos analis"
"Great Egret","Ardea alba"
"Green Imperial-Pigeon","Ducula aenea"
"Greater Sand-Plover","Charadrius leschenaultii"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Indian Cuckoo","Cuculus micropterus"
"Indian White-eye","Zosterops palpebrosus"
"Intermediate Egret","Ardea intermedia"
"Large Cuckooshrike","Coracina macei"
"Lesser Sand-Plover","Charadrius mongolus"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Egret","Egretta garzetta"
"Mangrove Whistler","Pachycephala cinerea"
"Scaly-breasted Munia","Lonchura punctulata"
"Oriental Scops-Owl","Otus sunia"
"Pacific Reef-Heron","Egretta sacra"
"Pacific Swallow","Hirundo tahitica"
"Pacific Golden-Plover","Pluvialis fulva"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Red-breasted Parakeet","Psittacula alexandri"
"Red Collared-Dove","Streptopelia tranquebarica"
"Ruddy Kingfisher","Halcyon coromanda"
"Scarlet Minivet","Pericrocotus speciosus"
"Slaty-breasted Rail","Lewinia striata"
"Small Minivet","Pericrocotus cinnamomeus"
"Striated Heron","Butorides striata"
"Violet Cuckoo","Chrysococcyx xanthorhynchus"
"Watercock","Gallicrex cinerea"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-breasted Woodswallow","Artamus leucorynchus"
"Whimbrel","Numenius phaeopus"
"White-rumped Munia","Lonchura striata"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Yellow Bittern","Ixobrychus sinensis"
"Asian Openbill","Anastomus oscitans"
"Black-browed Reed Warbler","Acrocephalus bistrigiceps"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis"
"Brown Boobook","Ninox scutulata"
"Common Sandpiper","Actitis hypoleucos"
"Crimson Sunbird","Aethopyga siparaja"
"Nicobar Imperial-Pigeon","Ducula nicobarica"
"Hooded Pitta","Pitta sordida"
"Javan Pond-Heron","Ardeola speciosa"
"Jerdon's Baza","Aviceda jerdoni"
"Malayan Night-Heron","Gorsachius melanolophus"
"Nicobar Bulbul","Hypsipetes nicobariensis"
"Nicobar Jungle-Flycatcher","Cyornis nicobaricus"
"Nicobar Parakeet","Psittacula caniceps"
"Nicobar Pigeon","Caloenas nicobarica"
"Nicobar Scrubfowl","Megapodius nicobariensis"
"Nicobar Serpent-Eagle","Spilornis klossi"
"Oriental Skylark","Alauda gulgula"
"Pallas's Grasshopper-Warbler","Locustella certhiola"
"Pied Triller","Lalage nigra"
"Pied Imperial-Pigeon","Ducula bicolor"
"Purple Heron","Ardea purpurea"
"Red-rumped Swallow","Cecropis daurica"
"Yellow-legged Buttonquail","Turnix tanki"
"Zitting Cisticola","Cisticola juncidis"
"Baya Weaver","Ploceus philippinus"
"Brahminy Starling","Sturnia pagodarum"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Babbler","Turdoides caudata"
"Common Iora","Aegithina tiphia"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Green Bee-eater","Merops orientalis"
"Gray Francolin","Francolinus pondicerianus"
"Indian Robin","Copsychus fulicatus"
"Indian Silverbill","Euodice malabarica"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Laughing Dove","Streptopelia senegalensis"
"Little Swift","Apus affinis"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Purple Sunbird","Cinnyris asiaticus"
"Red-vented Bulbul","Pycnonotus cafer"
"Yellow-wattled Lapwing","Vanellus malabaricus"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Ashy Prinia","Prinia socialis"
"Ashy Woodswallow","Artamus fuscus"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Barred Buttonquail","Turnix suscitator"
"Barn Swallow","Hirundo rustica"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Kite","Elanus caeruleus"
"Black Drongo","Dicrurus macrocercus"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Black-hooded Oriole","Oriolus xanthornus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Bonelli's Eagle","Aquila fasciata"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Chestnut-tailed Starling","Sturnia malabarica"
"Indian Peafowl","Pavo cristatus"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Oriental Darter","Anhinga melanogaster"
"Western Yellow Wagtail","Motacilla flava"
"Greater Coucal","Centropus sinensis"
"Gray Junglefowl","Gallus sonneratii"
"Cinereous Tit","Parus cinereus"
"Greenish Warbler","Phylloscopus trochiloides"
"Gray Wagtail","Motacilla cinerea"
"Gray-breasted Prinia","Prinia hodgsonii"
"Eurasian Hoopoe","Upupa epops"
"Indian Nightjar","Caprimulgus asiaticus"
"Indian Pitta","Pitta brachyura"
"Indian Gray Hornbill","Ocyceros birostris"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii"
"Indian Scops-Owl","Otus bakkamoena"
"Jerdon's Bushlark","Mirafra affinis"
"Jerdon's Leafbird","Chloropsis jerdoni"
"Jerdon's Nightjar","Caprimulgus atripennis"
"Jungle Bush-Quail","Perdicula asiatica"
"Jungle Prinia","Prinia sylvatica"
"Large Gray Babbler","Turdoides malcolmi"
"Little Cormorant","Microcarbo niger"
"Loten's Sunbird","Cinnyris lotenius"
"Long-tailed Shrike","Lanius schach"
"Mottled Wood-Owl","Strix ocellata"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Painted Spurfowl","Galloperdix lunulata"
"Painted Stork","Mycteria leucocephala"
"Pied Bushchat","Saxicola caprata"
"Pied Cuckoo","Clamator jacobinus"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Plain Prinia","Prinia inornata"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Puff-throated Babbler","Pellorneum ruficeps"
"Red Spurfowl","Galloperdix spadicea"
"Red-wattled Lapwing","Vanellus indicus"
"Rock Pigeon","Columba livia"
"Rose-ringed Parakeet","Psittacula krameri"
"Rufous Treepie","Dendrocitta vagabunda"
"Rufous-tailed Lark","Ammomanes phoenicura"
"Shikra","Accipiter badius"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Spotted Dove","Streptopelia chinensis"
"Spotted Owlet","Athene brama"
"Streak-throated Woodpecker","Picus xanthopygaeus"
"Tawny-bellied Babbler","Dumetia hyperythra"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Tree Pipit","Anthus trivialis"
"White-browed Bulbul","Pycnonotus luteolus"
"White-bellied Drongo","Dicrurus caerulescens"
"White-browed Wagtail","Motacilla maderaspatensis"
"White-cheeked Barbet","Psilopogon viridis"
"White-eyed Buzzard","Butastur teesa"
"White-naped Woodpecker","Chrysocolaptes festivus"
"White-rumped Shama","Copsychus malabaricus"
"White-tailed Iora","Aegithina nigrolutea"
"Yellow-billed Babbler","Turdoides affinis"
"Yellow-browed Bulbul","Iole indica"
"Yellow-eyed Babbler","Chrysomma sinense"
"Yellow-throated Bulbul","Pycnonotus xantholaemus"
"Asian Pied Starling","Gracupica contra"
"Black-winged Stilt","Himantopus himantopus"
"Black Kite","Milvus migrans"
"Black-headed Ibis","Threskiornis melanocephalus"
"Yellow-throated Sparrow","Gymnoris xanthocollis"
"Eurasian Spoonbill","Platalea leucorodia"
"Glossy Ibis","Plegadis falcinellus"
"Great Cormorant","Phalacrocorax carbo"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Little Ringed Plover","Charadrius dubius"
"Little Grebe","Tachybaptus ruficollis"
"Paddyfield Pipit","Anthus rufulus"
"Pied Kingfisher","Ceryle rudis"
"Alpine Swift","Apus melba"
"Black Bittern","Ixobrychus flavicollis"
"Black-crested Bulbul","Rubigula flaviventris"
"Black-throated Munia","Lonchura kelaarti"
"Blyth's Pipit","Anthus godlewskii"
"Brown-capped Woodpecker","Yungipicus nanus"
"Booted Warbler","Iduna caligata"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Bronze-winged Jacana","Metopidius indicus"
"Citrine Wagtail","Motacilla citreola"
"Common Tern","Sterna hirundo"
"Crested Goshawk","Accipiter trivirgatus"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Eurasian Coot","Fulica atra"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Gray Heron","Ardea cinerea"
"Greater Painted-Snipe","Rostratula benghalensis"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Indian Bushlark","Mirafra erythroptera"
"Indian Roller","Coracias benghalensis"
"Indian Yellow Tit","Machlolophus aplonotus"
"Jungle Babbler","Turdoides striata"
"Jungle Myna","Acridotheres fuscus"
"Lesser Yellownape","Picus chlorolophus"
"Little Spiderhunter","Arachnothera longirostra"
"Malabar Trogon","Harpactes fasciatus"
"Oriental Pratincole","Glareola maldivarum"
"Osprey","Pandion haliaetus"
"Pallid Harrier","Circus macrourus"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Red Avadavat","Amandava amandava"
"Red-naped Ibis","Pseudibis papillosa"
"River Tern","Sterna aurantia"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
"Small Pratincole","Glareola lactea"
"Speckled Piculet","Picumnus innominatus"
"Streaked Weaver","Ploceus manyar"
"Streak-throated Swallow","Petrochelidon fluvicola"
"Thick-billed Flowerpecker","Dicaeum agile"
"Tricolored Munia","Lonchura malacca"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Wire-tailed Swallow","Hirundo smithii"
"Black-breasted Weaver","Ploceus benghalensis"
"Eurasian Kestrel","Falco tinnunculus"
"Great Crested Grebe","Podiceps cristatus"
"Tawny Lark","Galerida deva"
"Ashy Drongo","Dicrurus leucophaeus"
"Jungle Owlet","Glaucidium radiatum"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Wood Sandpiper","Tringa glareola"
"Common Greenshank","Tringa nebularia"
"Gray-headed Lapwing","Vanellus cinereus"
"Kentish Plover","Charadrius alexandrinus"
"Little Tern","Sternula albifrons"
"Ruddy-breasted Crake","Zapornia fusca"
"Sanderling","Calidris alba"
"Sultan Tit","Melanochlora sultanea"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Ashy Wood-Pigeon","Columba pulchricollis"
"Black Bulbul","Hypsipetes leucocephalus"
"Black-chinned Yuhina","Yuhina nigrimenta"
"Blue-naped Pitta","Hydrornis nipalensis"
"Blue-throated Barbet","Psilopogon asiaticus"
"Bronzed Drongo","Dicrurus aeneus"
"Golden Babbler","Cyanoderma chrysaeum"
"Great Barbet","Psilopogon virens"
"Gray Peacock-Pheasant","Polyplectron bicalcaratum"
"Gray-throated Babbler","Stachyris nigriceps"
"Black-throated Prinia","Prinia atrogularis"
"Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor"
"Large Blue Flycatcher","Cyornis magnirostris"
"Lesser Necklaced Laughingthrush","Garrulax monileger"
"Long-tailed Broadbill","Psarisomus dalhousiae"
"Nepal Fulvetta","Alcippe nipalensis"
"Orange-bellied Leafbird","Chloropsis hardwickii"
"Pale Blue Flycatcher","Cyornis unicolor"
"Red-headed Trogon","Harpactes erythrocephalus"
"Rufous-faced Warbler","Abroscopus albogularis"
"Silver-breasted Broadbill","Serilophus lunatus"
"Small Niltava","Niltava macgrigoriae"
"Spotted Elachura","Elachura formosa"
"Striated Yuhina","Yuhina castaniceps"
"Streaked Wren-Babbler","Turdinus brevicaudatus"
"Wedge-tailed Green-Pigeon","Treron sphenurus"
"White-crested Laughingthrush","Garrulax leucolophus"
"Whiskered Yuhina","Yuhina flavicollis"
"White-throated Bulbul","Alophoixus flaveolus"
"Bhutan Laughingthrush","Trochalopteron imbricatum"
"Blood Pheasant","Ithaginis cruentus"
"Black-throated Tit","Aegithalos concinnus"
"Blue-winged Minla","Actinodura cyanouroptera"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum"
"Chestnut-crowned Warbler","Phylloscopus castaniceps"
"Chestnut-tailed Minla","Actinodura strigula"
"Eurasian Nutcracker","Nucifraga caryocatactes"
"Fire-tailed Sunbird","Aethopyga ignicauda"
"Yellow-billed Blue-Magpie","Urocissa flavirostris"
"Mrs. Gould's Sunbird","Aethopyga gouldiae"
"Green-backed Tit","Parus monticolus"
"Green-tailed Sunbird","Aethopyga nipalensis"
"Gray Bushchat","Saxicola ferreus"
"Gray-backed Shrike","Lanius tephronotus"
"Gray-winged Blackbird","Turdus boulboul"
"Himalayan Cuckoo","Cuculus saturatus"
"Himalayan Griffon","Gyps himalayensis"
"Long-tailed Minivet","Pericrocotus ethologus"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Red-billed Leiothrix","Leiothrix lutea"
"Red-headed Bullfinch","Pyrrhula erythrocephala"
"Red-tailed Minla","Minla ignotincta"
"Rufous-bellied Niltava","Niltava sundara"
"Rufous Sibia","Heterophasia capistrata"
"Rufous-gorgeted Flycatcher","Ficedula strophiata"
"Russet Sparrow","Passer cinnamomeus"
"Rufous-vented Yuhina","Yuhina occipitalis"
"Rufous-winged Fulvetta","Schoeniparus castaneceps"
"Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis"
"Scarlet Finch","Carpodacus sipahi"
"Snow Pigeon","Columba leuconota"
"Spotted Laughingthrush","Ianthocincla ocellata"
"Speckled Wood-Pigeon","Columba hodgsonii"
"Ultramarine Flycatcher","Ficedula superciliaris"
"Verditer Flycatcher","Eumyias thalassinus"
"White-collared Blackbird","Turdus albocinctus"
"White-capped Redstart","Phoenicurus leucocephalus"
"White-throated Laughingthrush","Ianthocincla albogularis"
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus"
"Yellow-breasted Greenfinch","Chloris spinoides"
"Asian Emerald Cuckoo","Chrysococcyx maculatus"
"Ashy Bulbul","Hemixos flavala"
"Ashy-throated Warbler","Phylloscopus maculipennis"
"Barred Cuckoo-Dove","Macropygia unchall"
"Bay Woodpecker","Blythipicus pyrrhotis"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha"
"Beautiful Sibia","Heterophasia pulchella"
"Besra","Accipiter virgatus"
"Brownish-flanked Bush Warbler","Horornis fortipes"
"Black-headed Shrike-Babbler","Pteruthius rufiventer"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Black Eagle","Ictinaetus malaiensis"
"Black-backed Forktail","Enicurus immaculatus"
"Pale-billed Parrotbill","Chleuasicus atrosuperciliaris"
"Blue-fronted Robin","Cinclidium frontale"
"Black-faced Warbler","Abroscopus schisticeps"
"Black-throated Parrotbill","Suthora nipalensis"
"Black-throated Sunbird","Aethopyga saturata"
"Blue-winged Laughingthrush","Trochalopteron squamatum"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Blyth's Shrike-Babbler","Pteruthius aeralatus"
"Blyth's Tragopan","Tragopan blythii"
"Broad-billed Warbler","Tickellia hodgsoni"
"Brown Wood-Owl","Strix leptogrammica"
"Buff-barred Warbler","Phylloscopus pulcher"
"Buff-chested Babbler","Cyanoderma ambiguum"
"Bugun Liocichla","Liocichla bugunorum"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Coral-billed Scimitar-Babbler","Pomatorhinus ferruginosus"
"Chestnut-breasted Partridge","Arborophila mandellii"
"Chestnut-headed Tesia","Cettia castaneocoronata"
"Collared Owlet","Glaucidium brodiei"
"Common Cuckoo","Cuculus canorus"
"Collared Scops-Owl","Otus lettia"
"Crested Bunting","Emberiza lathami"
"Himalayan Cutia","Cutia nipalensis"
"Darjeeling Woodpecker","Dendrocopos darjellensis"
"Dark-sided Flycatcher","Muscicapa sibirica"
"Eurasian Jay","Garrulus glandarius"
"Eurasian Tree Sparrow","Passer montanus"
"Eyebrowed Wren-Babbler","Napothera epilepidota"
"Fire-breasted Flowerpecker","Dicaeum ignipectus"
"Greater Necklaced Laughingthrush","Ianthocincla pectoralis"
"Golden-breasted Fulvetta","Lioparus chrysotis"
"Gold-naped Finch","Pyrrhoplectes epauletta"
"Golden-throated Barbet","Psilopogon franklinii"
"Great Hornbill","Buceros bicornis"
"Common Green-Magpie","Cissa chinensis"
"Greater Yellownape","Chrysophlegma flavinucha"
"Green Shrike-Babbler","Pteruthius xanthochlorus"
"Gray Nightjar","Caprimulgus jotaka"
"Gray Treepie","Dendrocitta formosae"
"Gray-bellied Tesia","Tesia cyaniventer"
"Gray-chinned Minivet","Pericrocotus solaris"
"Gray-cheeked Warbler","Phylloscopus poliogenys"
"Gray-headed Parrotbill","Psittiparus gularis"
"Gray-hooded Warbler","Phylloscopus xanthoschistos"
"Gray-sided Laughingthrush","Ianthocincla caerulata"
"Hill Partridge","Arborophila torqueola"
"Himalayan Owl","Strix nivicolum"
"Hodgson's Frogmouth","Batrachostomus hodgsoni"
"Hoary-throated Barwing","Actinodura nipalensis"
"Kalij Pheasant","Lophura leucomelanos"
"Bearded Vulture","Gypaetus barbatus"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Large Niltava","Niltava grandis"
"Large Woodshrike","Tephrodornis virgatus"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"Lesser Cuckoo","Cuculus poliocephalus"
"Little Bunting","Emberiza pusilla"
"Long-tailed Sibia","Heterophasia picaoides"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Maroon Oriole","Oriolus traillii"
"Mountain Imperial-Pigeon","Ducula badia"
"Mountain Scops-Owl","Otus spilocephalus"
"Mountain Bulbul","Ixos mcclellandii"
"Mountain Hawk-Eagle","Nisaetus nipalensis"
"Mountain Tailorbird","Phyllergates cucullatus"
"Olive-backed Pipit","Anthus hodgsoni"
"Lemon-rumped Warbler","Phylloscopus chloronotus"
"Plaintive Cuckoo","Cacomantis merulinus"
"Pygmy Cupwing","Pnoepyga pusilla"
"Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps"
"Red Junglefowl","Gallus gallus"
"Red-faced Liocichla","Liocichla phoenicea"
"Rufous-throated Wren-Babbler","Spelaeornis caudatus"
"Rufous-backed Sibia","Minla annectens"
"Russet Bush Warbler","Locustella mandelli"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus"
"Rufous-capped Babbler","Cyanoderma ruficeps"
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis"
"Rusty-fronted Barwing","Actinodura egertoni"
"Rusty-flanked Treecreeper","Certhia nipalensis"
"White-breasted Parrotbill","Psittiparus ruficeps"
"Sapphire Flycatcher","Ficedula sapphira"
"Slender-billed Scimitar-Babbler","Pomatorhinus superciliaris"
"Scaly-breasted Cupwing","Pnoepyga albiventer"
"Scaly Laughingthrush","Trochalopteron subunicolor"
"Short-billed Minivet","Pericrocotus brevirostris"
"Silver-eared Mesia","Leiothrix argentauris"
"Slender-billed Oriole","Oriolus tenuirostris"
"Slaty-bellied Tesia","Tesia olivea"
"Spotted Forktail","Enicurus maculatus"
"Spot-throated Babbler","Pellorneum albiventre"
"Striated Bulbul","Pycnonotus striatus"
"Striated Laughingthrush","Grammatoptila striata"
"Streaked Spiderhunter","Arachnothera magna"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Tickell's Thrush","Turdus unicolor"
"Ward's Trogon","Harpactes wardi"
"Blackish-breasted Babbler","Stachyris humei"
"Himalayan Shortwing","Brachypteryx cruralis"
"White-gorgeted Flycatcher","Anthipes monileger"
"White-hooded Babbler","Gampsorhynchus rufulus"
"Whistler's Warbler","Phylloscopus whistleri"
"White-naped Yuhina","Yuhina bakeri"
"White-throated Fantail","Rhipidura albicollis"
"White-throated Needletail","Hirundapus caudacutus"
"White-tailed Nuthatch","Sitta himalayensis"
"White-tailed Robin","Myiomela leucura"
"Yellow-bellied Warbler","Abroscopus superciliaris"
"Yellow-rumped Honeyguide","Indicator xanthonotus"
"Yellow-throated Fulvetta","Schoeniparus cinereus"
"Yellow-vented Warbler","Phylloscopus cantator"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Lesser Adjutant","Leptoptilos javanicus"
"Lineated Barbet","Psilopogon lineatus"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Asian Barred Owlet","Glaucidium cuculoides"
