"COMMON.NAME","freq"
"Common Myna",0.568070307866501
"Asian Koel",0.516363832425729
"House Crow",0.488434787297137
"Rock Pigeon",0.46632878632663
"Red-vented Bulbul",0.436189141100987
"Common Tailorbird",0.406588666630722
"Rose-ringed Parakeet",0.394133822181485
"Large-billed Crow",0.372566991966356
"Greater Coucal",0.325443467946299
"White-throated Kingfisher",0.318434248126382
"Oriental Magpie-Robin",0.292769720170378
"Black Kite",0.283280314875721
"Cattle Egret",0.27265865099477
"Black Drongo",0.266566021458996
"Ashy Prinia",0.259448967488003
"Purple Sunbird",0.253895508707608
"Red-wattled Lapwing",0.236534210384429
"Indian Pond-Heron",0.226829136787621
"House Sparrow",0.225049873294872
"Spotted Dove",0.215614385075753
"Red-whiskered Bulbul",0.210815765352887
"Purple-rumped Sunbird",0.205424057799105
"Coppersmith Barbet",0.193616218256322
"Indian Peafowl",0.183425890979673
"Green Bee-eater",0.17878902248342
"Indian Robin",0.178465520030194
"Rufous Treepie",0.160511133876099
"White-cheeked Barbet",0.157545694721518
"Jungle Babbler",0.15080606027929
"White-breasted Waterhen",0.150428640750526
"Laughing Dove",0.149512050466383
"Shikra",0.13322909365396
"Little Cormorant",0.128484391006632
"Yellow-billed Babbler",0.126381625060657
"Black-rumped Flameback",0.115274707499865
"Eurasian Collared-Dove",0.114034614762495
"Common Hawk-Cuckoo",0.112309268345285
"Pale-billed Flowerpecker",0.112147517118671
"Brahminy Starling",0.110368253625923
"Asian Palm-Swift",0.108858575510864
"Gray Francolin",0.108858575510864
"Brahminy Kite",0.107079312018116
"Indian White-eye",0.104491292392301
"Pied Bushchat",0.101633687388796
"Common Iora",0.101364102011107
"Little Egret",0.0938696285113495
"Little Swift",0.0918746967164501
"Asian Pied Starling",0.0874534965223486
"Jungle Myna",0.0844880573677684
"Red-rumped Swallow",0.0757534911306411
"Black-hooded Oriole",0.0744055642421955
"White-browed Wagtail",0.0743516471666577
"Plain Prinia",0.0701461152747075
"Spotted Owlet",0.0689599396128754
"Scaly-breasted Munia",0.0661562516849086
"Indian Gray Hornbill",0.0652935784763034
"Cinereous Tit",0.0643769881921605
"White-browed Bulbul",0.0613576319620424
"Baya Weaver",0.0600097050735968
"Lesser Whistling-Duck",0.0579608562031595
"Indian Roller",0.0577451879010083
"Greater Racket-tailed Drongo",0.0563433439370249
